Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2,earlier,2006,0.6,single,100,1,4,400,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT 6/7,earlier,2012,2,single,150,4,0,0,25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT 6/7,earlier,2012,2,single,150,1,4,600,100,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSAT-5,earlier,2016,1,single,200,1,0,0,100,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSAT-5,earlier,2016,1,single,0,0,4,400,200,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSAT-2,earlier,2004,0.6,single,200,1,4,400,200,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaoFen-1,earlier,2013,0.8,single,200,1,0,0,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaoFen-1,earlier,2013,0.8,single,200,1,4,800,500,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EROS A,earlier,2001,0.4,single,200,1,0,0,375,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiYuan-3,earlier,2013,0.8,single,210,1,0,0,500,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiYuan-3,earlier,2013,0.8,single,210,1,4,580,500,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlanetScope,earlier,2017,0.003,single,0,0,4,300,250,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RapidEye,earlier,2008,1,single,0,0,5,500,375,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT 6/7,earlier,2012,2,single,0,0,4,600,100,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-2,earlier,2017,0.7,single,0,0,5,6.5,500,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHS,earlier,2010,1,single,0,0,32,10,2500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Stereo,earlier,2010,1.2,stereo,30,6,0,0,25,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Stereo,earlier,2010,1.2,stereo,30,1,4,120,25,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Tri-Stereo,earlier,2010,1.2,tri-stereo,30,6,0,0,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Tri-Stereo,earlier,2010,1.2,tri-stereo,30,1,4,120,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4,earlier,2014,6,stereo,30,1,0,0,100,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4,earlier,2014,6,stereo,30,4,0,0,100,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4,earlier,2014,6,stereo,30,1,4,120,100,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-3,earlier,2014,6,stereo,30,1,8,120,100,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3N
Stereo",earlier,2021,0.8,stereo,30,1,4,120,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3N
Tri-Stereo",earlier,2021,0.8,tri-stereo,30,1,4,120,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView Neo-1,earlier,2021,1,stereo,30,1,4,120,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-2,earlier,2018,1,stereo,30,1,4,160,100,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,stereo,40,1,0,0,100,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,stereo,40,4,0,0,100,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,stereo,40,1,4,160,100,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3,earlier,2009,6,stereo,40,1,8,160,100,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,stereo,50,1,0,0,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,stereo,50,4,0,0,100,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,stereo,50,1,4,200,100,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3,earlier,2009,6,stereo,50,1,8,200,100,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Stereo,earlier,2012,1.2,stereo,50,4,0,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Stereo,earlier,2012,1.2,stereo,50,1,4,200,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Tri-Stereo,earlier,2012,1.2,tri-stereo,50,4,0,0,25,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Tri-Stereo,earlier,2012,1.2,tri-stereo,50,1,4,200,25,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-1,earlier,2007,6,stereo,50,1,0,0,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-1,earlier,2016,1,stereo,50,1,4,200,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3A
Stereo",earlier,2020,0.8,stereo,50,1,4,200,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3A
Tri - Stereo",earlier,2020,0.8,tri-stereo,50,1,4,200,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also",earlier,2015,1,stereo,55,4,0,0,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also",earlier,2015,1,stereo,55,1,4,220,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-3,earlier,2012,1,stereo,70,4,0,0,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-3,earlier,2012,1,stereo,70,1,4,220,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EROS B
Stereo",earlier,2006,0.4,stereo,70,1,0,0,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EROS B
Tri-Stereo",earlier,2006,0.4,tri-stereo,70,1,0,0,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2,earlier,2006,0.3,stereo,75,4,0,0,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2,earlier,2006,0.3,stereo,75,1,4,300,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1,earlier,2015,0.5,stereo,75,1,4,300,100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKONOS,earlier,2000,3,stereo,80,1,4,320,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-1,earlier,2014,0.7,stereo,100,1,4,400,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2,earlier,2006,0.6,stereo,100,4,0,0,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
