Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2, recently,2006,0.3,stereo,75,1,4,300,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1, recently,2015,0.5,stereo,75,1,4,300,100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-1, recently,2014,0.7,stereo,100,1,4,400,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2, recently,2006,0.6,stereo,100,4,0,0,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
KOMPSAT-2, recently,2006,0.6,stereo,100,1,4,400,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Stereo", recently,2012,2,stereo,150,4,0,0,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Stereo", recently,2012,2,stereo,150,1,4,600,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Tri-Stereo", recently,2012,2,tri-stereo,150,4,0,0,100,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPOT 6/7
Tri-Stereo", recently,2012,2,tri-stereo,150,1,4,600,100,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiYuan-3, recently,2012,0.8,stereo,350,1,0,0,500,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-2, recently,2017,0.7,stereo,0,0,5,650,500,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
